Price,Year,Generation,Trim,Mileage,Distance,Seller
9999,2017,7,ST-3,38032,1,Private
5995,2017,7,ST-3,102857,7,Private
11995,2017,7,ST-3,30100,21,Trade
14295,2019,8,ST-3,42150,26,Trade
10800,2017,7,ST-3,46000,29,Trade
21495,2022,8,ST-3,10000,29,Trade
11499,2015,7,ST-3,28000,32,Trade
19499,2023,8,ST-3,16739,32,Trade
8995,2015,7,ST-3,54200,35,Trade
23950,2023,8,ST-3,1350,42,Trade
20990,2022,8,ST-3,10950,42,Trade
21975,2023,8,ST-3,1159,44,Trade
7000,2017,7,ST-3,59048,44,Private
22995,2023,8,ST-3,5011,47,Trade
12995,2019,8,ST-3,43000,48,Private
20500,2023,8,ST-3,12823,49,Trade
21482,2023,8,ST-3,7723,49,Trade
17995,2020,8,ST-3,15417,50,Trade
14400,1100,8,ST-3,35787,51,Private
21999,2023,8,ST-3,16899,52,Trade
23500,2023,8,ST-3,8191,55,Trade
10000,2016,7,ST-3,47294,57,Trade
19495,2022,8,ST-3,19550,57,Trade
9499,2016,7,ST-3,62000,57,Trade
12999,2017,7,ST-3,19000,57,Trade
11649,2019,8,ST-3,72371,57,Trade
16649,2020,8,ST-3,33796,57,Trade
16999,2022,8,ST-3,29272,59,Private
20250,2022,8,ST-3,13705,60,Trade
19995,2023,8,ST-3,16872,63,Trade
15590,2020,8,ST-3,37000,65,Trade
10750,2016,7,ST-3,46000,65,Trade
16490,2021,8,ST-3,22967,66,Trade
8795,2016,7,ST-3,55911,67,Trade
19250,2022,8,ST-3,10965,67,Trade
10000,2015,7,ST-3,32913,67,Private
10490,2018,8,ST-3,61000,69,Private
14499,2018,8,ST-3,49936,81,Trade
7500,2014,7,ST-3,78200,84,Private
9400,2018,8,ST-3,70009,84,Private
19995,2022,8,ST-3,14300,87,Trade
9990,2016,7,ST-3,39922,88,Trade
9830,2015,7,ST-3,51400,89,Private
20295,2022,8,ST-3,11000,90,Trade
14995,2019,8,ST-3,42000,91,Private
8395,2014,7,ST-3,50000,92,Trade
13995,2019,8,ST-3,48500,93,Private
19990,2022,8,ST-3,15500,98,Trade
12495,2018,8,ST-3,53580,106,Trade
9495,2017,7,ST-3,52000,110,Private
19749,2020,8,ST-3,4180,112,Trade
8795,2014,7,ST-3,42500,113,Trade
13999,2019,8,ST-3,42020,113,Trade
5980,2014,7,ST-3,84800,116,Trade
3030,2014,7,ST-3,164530,116,Private
5600,2015,7,ST-3,82653,119,Private
5795,2015,7,ST-3,72000,119,Private
20999,2022,8,ST-3,13932,120,Trade
21749,2023,8,ST-3,8344,120,Trade
5995,2015,7,ST-3,82000,125,Private
21995,2022,8,ST-3,10000,127,Trade
8250,2016,7,ST-3,68000,128,Private
7750,2015,7,ST-3,54387,128,Private
15990,2019,8,ST-3,48176,129,Trade
16490,2019,8,ST-3,38049,129,Trade
10450,2017,7,ST-3,42695,129,Private
5900,2015,7,ST-3,86200,129,Private
20486,2022,8,ST-3,5900,129,Trade
17391,2019,8,ST-3,11000,129,Trade
20299,2023,8,ST-3,12098,129,Trade
14999,2018,8,ST-3,61500,130,Trade
13500,2019,8,ST-3,44590,130,Trade
8999,2017,7,ST-3,60900,130,Trade
5495,2014,7,ST-3,94000,130,Trade
15997,2019,8,ST-3,20469,131,Trade
9995,2017,7,ST-3,45000,131,Trade
22298,2023,8,ST-3,9999,132,Trade
5000,2014,7,ST-3,102000,132,Trade
21998,2023,8,ST-3,9926,132,Trade
19450,2022,8,ST-3,20294,133,Trade
13975,2019,8,ST-3,56000,133,Trade
8599,2025,7,ST-3,60200,133,Private
9100,2017,7,ST-3,33000,134,Private
8795,2016,7,ST-3,53000,134,Trade
20510,2022,8,ST-3,7837,134,Trade
13489,2019,8,ST-3,36000,135,Trade
6799,2014,7,ST-3,69900,135,Private
4990,2014,7,ST-3,80000,135,Private
8995,2017,7,ST-3,46710,136,Trade
16250,2020,8,ST-3,20653,136,Trade
9750,2014,7,ST-3,58000,136,Trade
19986,2022,8,ST-3,17444,137,Trade
13900,2018,8,ST-3,38570,137,Private
10500,2017,7,ST-3,40000,137,Trade
13650,2019,8,ST-3,52500,138,Trade
8695,2017,7,ST-3,67000,139,Trade
8000,2016,7,ST-3,57000,139,Trade
16121,2020,8,ST-3,30964,140,Trade
16194,2019,8,ST-3,12352,140,Trade
21711,2023,8,ST-3,10687,142,Trade
7395,2016,7,ST-3,62400,143,Trade
8250,2017,7,ST-3,57708,143,Private
9995,2017,7,ST-3,49800,143,Private
19542,2022,8,ST-3,16547,144,Trade
18452,2021,8,ST-3,11753,144,Trade
20490,2023,8,ST-3,10000,145,Trade
13799,2019,8,ST-3,47460,146,Trade
8690,2016,7,ST-3,61307,146,Trade
22199,2023,8,ST-3,6000,148,Trade
23499,2023,8,ST-3,5302,148,Trade
20498,2022,8,ST-3,19821,150,Trade
14495,2025,8,ST-3,31000,152,Private
15995,2019,8,ST-3,47800,152,Private
10195,2015,7,ST-3,71133,153,Private
13800,2019,8,ST-3,27500,153,Private
7250,2014,7,ST-3,35200,154,Private
6400,2014,7,ST-3,70400,155,Private
6000,2016,7,ST-3,80000,155,Private
4995,2016,7,ST-3,106733,156,Trade
20599,2022,8,ST-3,15634,156,Trade
21699,2022,8,ST-3,5001,156,Trade
8450,2017,7,ST-3,70000,156,Trade
19200,2022,8,ST-3,12748,156,Trade
17987,2022,8,ST-3,38090,157,Trade
15995,2020,8,ST-3,43000,158,Trade
6390,2015,7,ST-3,74418,158,Private
15250,2019,8,ST-3,32670,159,Trade
6598,2014,7,ST-3,75600,159,Trade
19625,2022,8,ST-3,10500,159,Trade
6195,2015,7,ST-3,91000,159,Trade
9150,2017,7,ST-3,62000,159,Trade
6499,2014,7,ST-3,92468,159,Private
21798,2023,8,ST-3,11970,159,Trade
21000,2022,8,ST-3,5053,160,Trade
10295,2017,7,ST-3,51000,160,Trade
16995,2019,8,ST-3,16666,160,Trade
7240,2017,7,ST-3,83000,161,Trade
6995,2015,7,ST-3,68245,161,Trade
7499,2015,7,ST-3,70000,161,Trade
13495,2018,8,ST-3,44000,161,Trade
6000,2016,7,ST-3,110000,161,Trade
14350,2020,8,ST-3,46000,162,Trade
14490,2019,8,ST-3,36092,162,Trade
14750,2018,8,ST-3,24165,162,Trade
15190,2019,8,ST-3,29057,162,Trade
15400,2019,8,ST-3,27000,162,Trade
15790,2019,8,ST-3,23000,162,Trade
15800,2019,8,ST-3,18503,162,Trade
16100,2020,8,ST-3,31206,162,Trade
21190,2023,8,ST-3,5104,162,Trade
10000,2017,7,ST-3,46000,162,Trade
8790,2016,7,ST-3,54958,163,Trade
10495,2017,7,ST-3,42000,164,Trade
15990,2020,8,ST-3,21366,164,Trade
9000,2017,7,ST-3,61500,166,Trade
18771,2022,8,ST-3,18989,166,Trade
20800,2023,8,ST-3,14163,166,Trade
9450,2016,7,ST-3,66000,166,Trade
20699,2023,8,ST-3,6245,167,Trade
9499,2017,7,ST-3,48595,167,Trade
18920,2022,8,ST-3,26000,167,Trade
19577,2022,8,ST-3,5380,167,Trade
13899,2019,8,ST-3,44806,168,Trade
6990,2017,7,ST-3,67690,168,Trade
6990,2014,7,ST-3,72000,170,Trade
20990,2023,8,ST-3,15000,172,Trade
13250,2019,8,ST-3,52000,173,Trade
20495,2022,8,ST-3,9900,173,Trade
5990,2015,7,ST-3,90000,173,Trade
20555,2023,8,ST-3,11008,173,Trade
21909,2023,8,ST-3,2674,173,Trade
9500,2016,7,ST-3,41295,174,Private
6395,2015,7,ST-3,87253,174,Private
20995,2023,8,ST-3,12800,175,Trade
18745,2022,8,ST-3,29269,175,Trade
19489,2023,8,ST-3,19504,175,Trade
18750,2024,8,ST-3,18026,176,Trade
19500,2022,8,ST-3,19001,176,Trade
7570,2015,7,ST-3,43847,176,Private
7495,2014,7,ST-3,59700,176,Trade
6100,2016,7,ST-3,90000,176,Private
6010,2016,7,ST-3,75423,177,Private
11800,2017,7,ST-3,30000,177,Trade
19495,2022,8,ST-3,15500,177,Private
6117,2014,7,ST-3,92000,177,Trade
14595,2019,8,ST-3,29949,178,Trade
8295,2016,7,ST-3,51200,179,Trade
6995,2014,7,ST-3,72000,180,Trade
21699,2023,8,ST-3,5376,180,Trade
8650,2017,7,ST-3,71000,180,Trade
5995,2016,7,ST-3,81000,180,Private
17480,2020,8,ST-3,15019,180,Trade
13500,2019,8,ST-3,55000,180,Trade
14890,2020,8,ST-3,42791,181,Trade
7495,2014,7,ST-3,76000,181,Private
10295,2017,7,ST-3,41326,182,Trade
20500,2023,8,ST-3,11917,182,Trade
18790,2022,8,ST-3,19278,182,Trade
18560,2022,8,ST-3,18000,182,Trade
6895,2015,7,ST-3,82633,183,Trade
11495,2015,7,ST-3,25051,183,Trade
5457,2016,7,ST-3,114182,183,Trade
19999,2022,8,ST-3,4329,183,Trade
16248,2020,8,ST-3,26857,184,Trade
20993,2023,8,ST-3,10730,184,Trade
21483,2022,8,ST-3,9196,184,Trade
10490,2017,7,ST-3,50000,184,Trade
8995,2015,7,ST-3,46915,184,Trade
9995,2017,7,ST-3,48295,184,Trade
19950,2022,8,ST-3,14611,185,Trade
9400,2015,7,ST-3,40996,185,Private
9300,2015,7,ST-3,32379,185,Trade
23498,2023,8,ST-3,3455,185,Trade
20495,2022,8,ST-3,14515,185,Trade
20495,2022,8,ST-3,20512,185,Trade
5380,2014,7,ST-3,99716,186,Trade
11490,2017,7,ST-3,18500,186,Private
19999,2022,8,ST-3,13914,187,Trade
6200,2015,7,ST-3,93000,187,Trade
8490,2015,7,ST-3,59000,187,Trade
7360,2015,7,ST-3,67904,187,Private
5000,2016,7,ST-3,125950,188,Trade
14200,2019,8,ST-3,31600,188,Trade
8500,2017,7,ST-3,67638,190,Trade
14464,2018,8,ST-3,29800,190,Trade
19790,2023,8,ST-3,13023,190,Trade
8500,2017,7,ST-3,65500,190,Private
6995,2015,7,ST-3,69000,190,Private
15940,2019,8,ST-3,30009,190,Trade
17490,2020,8,ST-3,21700,191,Trade
21490,2022,8,ST-3,3809,191,Trade
13095,2019,8,ST-3,57242,193,Trade
15790,2019,8,ST-3,36000,193,Trade
18490,2020,8,ST-3,17000,193,Trade
18990,2020,8,ST-3,19000,193,Trade
6950,2017,7,ST-3,75051,193,Trade
20607,2023,8,ST-3,10318,193,Trade
12799,2019,8,ST-3,49969,194,Private
9995,2016,7,ST-3,37567,194,Trade
18990,2022,8,ST-3,22677,196,Trade
19999,2022,8,ST-3,11500,196,Trade
8290,2015,7,ST-3,62200,197,Trade
13995,2019,8,ST-3,46245,197,Trade
21960,2023,8,ST-3,8400,197,Private
8990,2015,7,ST-3,43000,198,Trade
4750,2015,7,ST-3,110000,199,Trade
8790,2016,7,ST-3,62946,199,Trade
21999,2023,8,ST-3,11100,199,Trade
14485,2019,8,ST-3,43861,199,Trade
12495,2019,8,ST-3,63000,199,Trade
9990,2017,7,ST-3,49303,199,Trade
11000,2016,7,ST-3,22538,200,Private
7949,2016,7,ST-3,42000,200,Private
7995,2016,7,ST-3,49300,200,Private
6990,2015,7,ST-3,66000,201,Trade
11500,2017,7,ST-3,26248,201,Trade
19799,2022,8,ST-3,16384,203,Trade
16495,2020,8,ST-3,18800,203,Trade
9995,2016,7,ST-3,47000,203,Trade
8250,2017,7,ST-3,53860,203,Private
14490,2019,8,ST-3,37179,205,Trade
8750,2017,7,ST-3,77350,205,Private
22491,2023,8,ST-3,1886,207,Trade
12850,2019,8,ST-3,58767,207,Trade
12300,2018,8,ST-3,58380,208,Trade
7895,2016,7,ST-3,70000,209,Trade
17700,2021,8,ST-3,15467,209,Trade
6000,2014,7,ST-3,91000,209,Trade
22698,2023,8,ST-3,3054,210,Trade
19990,2023,8,ST-3,13686,210,Trade
18199,2021,8,ST-3,9902,211,Trade
22998,2023,8,ST-3,4348,212,Trade
7499,2016,7,ST-3,77810,212,Trade
8100,2015,7,ST-3,60600,212,Private
9000,2017,7,ST-3,61304,213,Private
10500,2014,7,ST-3,23000,213,Private
21298,2023,8,ST-3,10373,213,Trade
20608,2023,8,ST-3,5742,213,Trade
14190,2019,8,ST-3,37892,214,Trade
7700,2016,7,ST-3,64000,214,Trade
15390,2019,8,ST-3,23678,214,Trade
9795,2016,7,ST-3,49000,214,Trade
6795,2015,7,ST-3,73000,215,Trade
17990,2019,8,ST-3,15096,215,Trade
13799,2018,8,ST-3,49000,215,Trade
15299,2019,8,ST-3,36000,215,Trade
15999,2020,8,ST-3,29000,215,Trade
20695,2023,8,ST-3,13236,215,Trade
6774,2014,7,ST-3,76000,215,Private
5295,2015,7,ST-3,108098,215,Trade
6295,2014,7,ST-3,87593,216,Trade
9000,2016,7,ST-3,55000,217,Trade
6999,2014,7,ST-3,63150,217,Trade
14600,2019,8,ST-3,34316,217,Trade
18995,2022,8,ST-3,17024,217,Trade
7990,2015,7,ST-3,62263,218,Trade
22198,2024,8,ST-3,5356,219,Trade
4450,2015,7,ST-3,108518,220,Private
8250,2016,7,ST-3,60456,220,Trade
14395,2018,8,ST-3,79000,220,Trade
14995,2020,8,ST-3,41000,221,Trade
10650,2016,7,ST-3,36473,223,Trade
19255,2022,8,ST-3,22100,224,Trade
13895,2019,8,ST-3,35220,227,Trade
10995,2015,7,ST-3,31817,228,Trade
9699,2015,7,ST-3,58070,229,Trade
16500,2018,8,ST-3,13600,230,Private
19995,2022,8,ST-3,18505,232,Trade
22995,2023,8,ST-3,7821,232,Trade
22995,2023,8,ST-3,6915,232,Trade
8250,2017,7,ST-3,67886,233,Trade
12400,2019,8,ST-3,62836,233,Trade
11590,2018,8,ST-3,70000,236,Trade
8500,2017,7,ST-3,50500,237,Private
13717,2019,8,ST-3,42332,238,Trade
19870,2023,8,ST-3,9127,238,Trade
20050,2023,8,ST-3,6146,238,Trade
6750,2016,7,ST-3,90000,241,Trade
16995,2019,8,ST-3,14828,241,Trade
7100,2014,7,ST-3,57000,246,Private
14950,2019,8,ST-3,30000,251,Private
8990,2016,7,ST-3,47000,254,Trade
20995,2023,8,ST-3,16605,264,Trade
19749,2022,8,ST-3,7593,267,Trade
16495,2020,8,ST-3,25000,268,Trade
11995,2016,7,ST-3,24613,269,Trade
15995,2019,8,ST-3,36380,269,Trade
20995,2022,8,ST-3,10026,270,Trade
8495,2017,7,ST-3,72300,274,Trade
17299,2022,8,ST-3,18180,280,Trade
18499,2022,8,ST-3,27000,281,Trade
26950,2023,8,ST-3,9,281,Trade
5500,2014,7,ST-3,85000,282,Private
19450,2022,8,ST-3,8958,283,Trade
22495,2023,8,ST-3,13625,286,Trade
20400,2023,8,ST-3,7880,290,Trade
13995,2018,8,ST-3,38000,291,Trade
16499,2020,8,ST-3,18673,291,Trade
18799,2023,8,ST-3,14453,291,Trade
12500,2019,8,ST-3,59070,292,Private
7990,2016,7,ST-3,64500,296,Trade
15000,2019,8,ST-3,31073,297,Trade
21499,2023,8,ST-3,16830,297,Trade
15490,2018,8,ST-3,18273,299,Trade
8190,2016,7,ST-3,65000,300,Trade
8999,2017,7,ST-3,57500,303,Trade
9000,2016,7,ST-3,63281,303,Trade
10495,2014,7,ST-3,80134,307,Private
13749,2019,8,ST-3,64000,311,Trade
6250,2015,7,ST-3,98219,313,Trade
15220,2018,8,ST-3,22570,346,Trade
9690,2016,7,ST-3,47997,351,Trade
9750,2015,7,ST-3,54187,351,Trade
7500,2017,7,ST-3,78000,355,Private
22150,2022,8,ST-3,2489,355,Trade
21489,2023,8,ST-3,17167,356,Trade
23689,2024,8,ST-3,1672,356,Trade
8590,2014,7,ST-3,42905,357,Trade
9590,2016,7,ST-3,37531,357,Trade
23995,2023,8,ST-3,9921,368,Trade
21700,2022,8,ST-3,6531,370,Trade
18750,2021,8,ST-3,20000,371,Trade
23498,2023,8,ST-3,1709,389,Trade
21595,2023,8,ST-3,12408,395,Trade
9495,2016,7,ST-3,53626,445,Trade
16730,2020,8,ST-2,8357,19,Trade
13200,2018,8,ST-2,41500,21,Trade
8150,2015,7,ST-2,42790,33,Private
5995,2013,7,ST-2,80000,38,Trade
17800,2022,8,ST-2,11701,43,Trade
5500,2014,7,ST-2,77023,45,Private
6995,2015,7,ST-2,75737,46,Trade
7995,2014,7,ST-2,51380,46,Trade
6979,2016,7,ST-2,79553,47,Trade
9149,2017,7,ST-2,50621,50,Trade
5400,2013,7,ST-2,79000,52,Private
6299,2014,7,ST-2,66000,56,Trade
6990,2014,7,ST-2,68639,58,Trade
13560,2018,8,ST-2,50000,59,Private
14633,2019,8,ST-2,33515,60,Trade
5945,2015,7,ST-2,94390,61,Trade
7495,2016,7,ST-2,68000,63,Trade
6995,2016,7,ST-2,85000,66,Trade
10000,2014,7,ST-2,75000,66,Private
14999,2021,8,ST-2,38813,67,Private
9000,2015,7,ST-2,58000,69,Private
5800,2013,7,ST-2,56000,69,Private
10995,2017,7,ST-2,30000,70,Trade
13995,2020,8,ST-2,46904,73,Trade
6495,2014,7,ST-2,82240,75,Trade
9299,2016,7,ST-2,43574,81,Trade
9849,2017,7,ST-2,41537,81,Trade
6995,2016,7,ST-2,83501,83,Trade
14750,2020,8,ST-2,31793,85,Trade
5995,2013,7,ST-2,88000,86,Trade
13000,2019,8,ST-2,51500,88,Private
7700,2016,7,ST-2,62000,91,Private
7295,2015,7,ST-2,69027,95,Trade
11193,2016,7,ST-2,23801,98,Trade
7500,2016,7,ST-2,68669,98,Trade
6495,2016,7,ST-2,84062,99,Trade
11750,2019,8,ST-2,32019,102,Private
13795,2019,8,ST-2,32571,106,Trade
7500,2014,7,ST-2,53000,107,Private
7800,2016,7,ST-2,67000,108,Private
3750,2013,7,ST-2,90000,109,Private
15791,2021,8,ST-2,34998,109,Trade
4995,2015,7,ST-2,119000,110,Trade
9750,2016,7,ST-2,40500,116,Private
15995,2021,8,ST-2,27000,117,Trade
16491,2020,8,ST-2,12036,117,Trade
8000,2014,7,ST-2,78000,118,Private
14350,2019,8,ST-2,27952,118,Trade
7695,2014,7,ST-2,51186,118,Trade
16995,2020,8,ST-2,14500,119,Trade
7295,2016,7,ST-2,55283,123,Private
16190,2020,8,ST-2,16331,126,Trade
3495,2014,7,ST-2,135000,127,Trade
7285,2014,7,ST-2,53299,127,Trade
7485,2015,7,ST-2,49000,127,Trade
13000,2017,7,ST-2,8511,128,Trade
4999,2013,7,ST-2,95000,129,Trade
4500,2015,7,ST-2,88192,129,Private
7250,2017,7,ST-2,53642,131,Trade
4500,2014,7,ST-2,95000,132,Trade
6920,2014,7,ST-2,70000,133,Trade
6795,2014,7,ST-2,70000,133,Trade
6340,2014,7,ST-2,75000,133,Trade
8790,2015,7,ST-2,42000,134,Trade
12990,2018,8,ST-2,51000,134,Trade
11699,2018,8,ST-2,53342,134,Trade
14198,2020,8,ST-2,22280,134,Trade
7495,2016,7,ST-2,55000,135,Trade
7495,2017,7,ST-2,58180,136,Trade
6250,2014,7,ST-2,77000,136,Trade
6920,2014,7,ST-2,70000,133,Trade
6795,2014,7,ST-2,70000,133,Trade
6340,2014,7,ST-2,75000,133,Trade
8790,2015,7,ST-2,42000,134,Trade
12990,2018,8,ST-2,51000,134,Trade
11699,2018,8,ST-2,53342,134,Trade
14198,2020,8,ST-2,22280,134,Trade
7495,2016,7,ST-2,55000,135,Trade
7495,2017,7,ST-2,58180,136,Trade
6250,2014,7,ST-2,77000,136,Trade
8995,2016,7,ST-2,47000,136,Trade
12350,2019,8,ST-2,51000,136,Trade
18500,2022,8,ST-2,10259,136,Private
6995,2013,7,ST-2,72600,136,Private
4500,2014,7,ST-2,63000,136,Trade
16602,2022,8,ST-2,21380,137,Trade
5500,2014,7,ST-2,90000,137,Trade
7995,2016,7,ST-2,51600,137,Private
12900,2019,8,ST-2,43220,139,Private
5300,2015,7,ST-2,85263,140,Private
14350,2019,8,ST-2,16488,140,Trade
5195,2014,7,ST-2,95340,140,Private
3650,2013,7,ST-2,120000,142,Trade
8000,2016,7,ST-2,60400,143,Trade
5995,2014,7,ST-2,78110,143,Trade
6285,2015,7,ST-2,77660,144,Trade
8250,2014,7,ST-2,40498,144,Trade
13750,2018,8,ST-2,41334,145,Private
8999,2015,7,ST-2,36000,146,Trade
8999,2017,7,ST-2,50000,146,Trade
10999,2019,8,ST-2,66000,146,Trade
13799,2019,8,ST-2,28000,147,Trade
13899,2019,8,ST-2,33000,147,Trade
7000,2016,7,ST-2,65244,147,Trade
13495,2018,8,ST-2,47000,147,Trade
8490,2016,7,ST-2,44000,147,Trade
5995,2015,7,ST-2,72000,147,Trade
7999,2015,7,ST-2,44000,148,Private
7860,2013,7,ST-2,56000,149,Private
11150,2019,8,ST-2,58501,149,Trade
9750,2015,7,ST-2,29569,151,Trade
7294,2014,7,ST-2,59241,154,Trade
6199,2015,7,ST-2,63200,157,Private
8148,2016,7,ST-2,63000,157,Trade
5500,2015,7,ST-2,79000,157,Private
6999,2016,7,ST-2,56574,157,Private
5999,2013,7,ST-2,66149,158,Trade
15500,2019,8,ST-2,20370,159,Trade
6495,2014,7,ST-2,62000,159,Trade
14995,2019,8,ST-2,29824,160,Trade
8495,2014,7,ST-2,45000,160,Trade
12990,2019,8,ST-2,39000,161,Trade
6695,2014,7,ST-2,65792,161,Trade
12000,2018,8,ST-2,44102,162,Trade
13100,2020,8,ST-2,43813,162,Trade
13850,2019,8,ST-2,26005,162,Trade
13900,2020,8,ST-2,28420,162,Trade
5295,2013,7,ST-2,88000,164,Trade
6995,2016,7,ST-2,68900,164,Private
8490,2017,7,ST-2,55130,164,Trade
5750,2014,7,ST-2,76457,165,Private
4795,2014,7,ST-2,108600,165,Trade
5390,2013,7,ST-2,89000,165,Private
4995,2014,7,ST-2,84336,165,Private
6998,2014,7,ST-2,61030,165,Trade
12000,2018,8,ST-2,41442,166,Private
7950,2016,7,ST-2,70000,166,Trade
13999,2020,8,ST-2,34880,167,Trade
15999,2020,8,ST-2,18087,167,Trade
6000,2014,7,ST-2,89000,169,Trade
6750,2013,7,ST-2,66673,169,Trade
17499,2022,8,ST-2,15235,171,Trade
16499,2018,8,ST-2,7855,171,Private
9990,2017,7,ST-2,39000,171,Trade
7795,2015,7,ST-2,49520,174,Trade
12946,2020,8,ST-2,43334,174,Trade
9195,2015,7,ST-2,34760,175,Trade
18300,2022,8,ST-2,11581,175,Trade
6450,2014,7,ST-2,63900,176,Private
7995,2015,7,ST-2,64000,176,Trade
11495,2019,8,ST-2,66500,176,Trade
12995,2018,8,ST-2,47800,176,Trade
5500,2017,7,ST-2,80518,177,Private
7500,2016,7,ST-2,56000,177,Trade
6495,2013,7,ST-2,68000,178,Private
8995,2017,7,ST-2,40000,179,Trade
13699,2018,8,ST-2,30197,180,Trade
7595,2014,7,ST-2,50744,180,Trade
10450,2019,8,ST-2,76000,182,Trade
5299,2014,7,ST-2,97546,182,Trade
10495,2014,7,ST-2,27836,182,Trade
5650,2015,7,ST-2,95330,182,Trade
12995,2018,8,ST-2,44142,183,Trade
5490,2014,7,ST-2,96500,183,Trade
8490,2014,7,ST-2,48000,183,Trade
6999,2014,7,ST-2,62771,183,Trade
12999,2019,8,ST-2,41268,183,Trade
3800,2013,7,ST-2,94218,184,Private
17499,2021,8,ST-2,9300,184,Trade
7495,2016,7,ST-2,66532,185,Private
6250,2014,7,ST-2,76800,186,Private
3250,2013,7,ST-2,129870,187,Private
7911,2014,7,ST-2,49348,187,Trade
13994,2020,8,ST-2,36376,187,Trade
6300,2015,7,ST-2,63216,187,Private
7200,2015,7,ST-2,60060,188,Private
6495,2014,7,ST-2,72000,188,Trade
8595,2014,7,ST-2,43200,188,Trade
13793,2018,8,ST-2,29000,189,Trade
7990,2015,7,ST-2,58000,189,Private
7495,2016,7,ST-2,77657,189,Trade
13470,2020,8,ST-2,48564,190,Trade
14470,2020,8,ST-2,19952,190,Trade
9490,2015,7,ST-2,31949,191,Trade
7390,2016,7,ST-2,81000,193,Trade
8690,2016,7,ST-2,55000,193,Trade
7695,2014,7,ST-2,52235,193,Trade
10995,2018,8,ST-2,50517,193,Private
9250,2017,7,ST-2,34850,193,Private
9107,2014,7,ST-2,35000,193,Trade
9650,2015,7,ST-2,33000,193,Private
9995,2017,7,ST-2,38435,194,Trade
6495,2014,7,ST-2,62800,194,Trade
12995,2020,8,ST-2,47000,195,Trade
4990,2014,7,ST-2,100000,196,Trade
4395,2013,7,ST-2,108700,197,Trade
6495,2014,7,ST-2,65557,197,Trade
6999,2014,7,ST-2,75658,198,Trade
5795,2015,7,ST-2,106300,198,Private
3950,2014,7,ST-2,96000,199,Private
6995,2014,7,ST-2,73248,199,Trade
8000,2015,7,ST-2,37500,199,Trade
6795,2015,7,ST-2,78294,200,Trade
13899,2020,8,ST-2,41248,201,Trade
8495,2013,7,ST-2,35110,201,Trade
4000,2014,7,ST-2,105343,202,Private
11295,2019,8,ST-2,57888,202,Private
6390,2015,7,ST-2,69000,203,Trade
16270,2022,8,ST-2,21603,203,Trade
7495,2016,7,ST-2,71000,204,Private
4995,2014,7,ST-2,88200,207,Private
13850,2020,8,ST-2,47587,207,Trade
10000,2018,8,ST-2,66500,208,Private
12974,2019,8,ST-2,42799,211,Trade
14290,2020,8,ST-2,27379,211,Trade
14838,2021,8,ST-2,31464,211,Trade
4710,2016,7,ST-2,93000,212,Private
8999,2017,7,ST-2,37857,214,Trade
5500,2014,7,ST-2,78000,214,Trade
13650,2018,8,ST-2,28905,214,Trade
6995,2015,7,ST-2,73000,214,Trade
9395,2015,7,ST-2,38995,214,Trade
14499,2019,8,ST-2,31400,215,Trade
13695,2018,8,ST-2,33663,215,Trade
5250,2015,7,ST-2,88000,215,Trade
13750,2018,8,ST-2,21200,217,Private
9995,2018,8,ST-2,66200,217,Private
5945,2013,7,ST-2,76800,217,Trade
5495,2015,7,ST-2,79000,221,Private
3295,2014,7,ST-2,119000,222,Private
13950,2019,8,ST-2,43819,222,Trade
13880,2019,8,ST-2,36331,223,Trade
12281,2018,8,ST-2,41000,223,Trade
6665,2014,7,ST-2,72533,229,Trade
6650,2014,7,ST-2,81494,230,Trade
11490,2019,8,ST-2,68000,235,Trade
7070,2015,7,ST-2,71320,238,Trade
7950,2015,7,ST-2,87000,241,Trade
7995,2016,7,ST-2,54236,248,Private
7490,2014,7,ST-2,57000,254,Trade
9495,2017,7,ST-2,51975,269,Trade
7490,2014,7,ST-2,78956,270,Trade
13995,2019,8,ST-2,34060,274,Trade
7495,2014,7,ST-2,58100,274,Trade
9495,2016,7,ST-2,46200,274,Trade
6995,2014,7,ST-2,57200,277,Trade
7999,2024,7,ST-2,56000,284,Trade
13250,2020,8,ST-2,33400,286,Private
13290,2019,8,ST-2,37772,287,Trade
16990,2021,8,ST-2,16316,295,Trade
6400,2013,7,ST-2,71632,299,Trade
6500,2013,7,ST-2,70087,299,Trade
6000,2015,7,ST-2,78428,300,Private
5795,2014,7,ST-2,96000,301,Trade
13495,2019,8,ST-2,37000,303,Trade
8999,2015,7,ST-2,33185,303,Trade
16995,2022,8,ST-2,21000,306,Trade
5500,2013,7,ST-2,95000,308,Trade
7800,2014,7,ST-2,59518,336,Trade
4995,2013,7,ST-2,101198,343,Private
7950,2014,7,ST-2,60511,346,Trade
6495,2014,7,ST-2,79000,351,Trade
5450,2013,7,ST-2,89000,351,Private
7995,2014,7,ST-2,53348,351,Trade
9140,2016,7,ST-2,55215,351,Trade
17695,2022,8,ST-2,13602,356,Trade
6495,2014,7,ST-2,80000,360,Trade
20000,2022,8,ST-2,7695,361,Trade
7495,2013,7,ST-2,67000,368,Trade
10000,2018,8,ST-2,59000,373,Private
8250,2017,7,ST-2,36700,462,Private
